x, y, z, mag, wma, label
3.1075242,-2.8048072,8.023418,9.049800841105393,0.20563173909278082,1
1.3453918,-4.0904937,8.44001,9.475019035219583,0.21550079529112165,1
3.449895,-4.435259,7.9803233,9.760064041678017,0.22310301965270002,1
1.7356466,-6.029797,6.9268746,9.346256800148197,0.23597187580225393,1
3.2080805,-4.406528,8.3203,9.946690945565845,0.24643040389319518,1
1.9798552,-4.662708,8.425645,9.831183074509967,0.23039488108781442,1
3.1218894,-3.9252937,7.1423526,8.72738908560085,0.2200220032754962,1
2.4395418,-4.5358152,7.5948567,9.1764281115117,0.19863445741328228,1
2.1019595,-4.8853683,8.700978,10.197650743601516,0.17045322052988987,1
3.1099184,-4.2580876,7.3985324,9.08521785493775,0.15736134212139175,1
2.726846,-4.617218,7.065738,8.870121004296355,0.13326790524165363,1
2.6502316,-5.967548,7.2860045,9.78372229388325,0.1230925094835992,1
3.0261214,-6.1566896,7.39135,10.084358688639194,0.10099312996256858,1
2.1833622,-5.177461,7.9803233,9.760058178962781,0.10204920028989063,1
2.6382606,-3.015497,8.377761,9.286577230745333,0.12205212554798674,1
2.274342,-5.1702785,8.100033,9.874965619377452,0.14102263297900167,1
2.5568578,-4.9188876,7.7002015,9.488207273795604,0.12522790859513375,1
2.9447184,-4.569334,7.800758,9.507996656880254,0.11448043141665978,1
2.808249,-4.3634324,7.0346136,8.741372787243797,0.09930429849880187,1
2.6885388,-5.019444,8.612392,10.324551285791053,0.09247303947110805,1
2.2192752,-4.128801,7.197419,8.589238872802555,0.07572026395300342,1
3.021333,-5.886145,8.04736,10.418021477650594,0.07901499878542766,1
2.8345852,-4.4663835,8.119186,9.690441054314734,0.08439285534579946,1
2.4515128,-5.2061915,6.955605,9.027446011699025,0.09040814856304573,1
3.507356,-5.5365915,8.571691,10.79023947293575,0.0875448725319113,1
2.7771244,-4.52145,7.6547117,9.313997084335583,0.0801922511000099,1
2.8609214,-3.807978,8.100033,9.396600278917786,0.08376146235075434,1
2.4467244,-4.605247,6.515072,8.345113692837666,0.1006622551211793,1
2.6406548,-4.9308586,8.416068,10.105276984071475,0.1010181126548835,1
2.6286838,-4.322731,7.041796,8.670805994076563,0.09288078626963002,1
1.4603134,-5.7640405,9.366566,11.094558729324817,0.10841990391430835,1
2.9614778,-4.935647,6.9843354,9.050519508920338,0.12717292438744793,1
2.2336404,-5.297171,7.4368396,9.399774394473102,0.12283397854462956,1
3.1314662,-3.7672763,6.888567,8.452857840048093,0.13465145632870038,1
2.4203882,-5.448006,7.4607816,9.54999038136582,0.14479682923486173,1
2.9351416,-4.1264067,7.9348335,9.412962688609174,0.15018422219051475,1
2.6023476,-4.7058034,7.5541553,9.272650951268602,0.13970615139092776,1
2.7795186,-4.626795,8.049755,9.691826623289257,0.12096251458815588,1
2.5185506,-4.5980644,7.7385087,9.347182035871493,0.10250142807773968,1
2.3677158,-5.040992,6.720973,8.728639961564074,0.09989380731024725,1
2.8058548,-5.1678843,6.9867296,9.132044750931076,0.08440976083118108,1
1.9702784,-3.2309752,7.2740335,8.199558376422438,0.10479251071105754,1
3.3349733,-3.3602622,8.241291,9.504330099981486,0.1064135492990323,1
2.5424926,-4.9045224,7.0226426,8.935106076900752,0.12621839460742584,1
2.5089738,-3.4751837,7.8534303,8.946966959447067,0.13852797470334402,1
2.4395418,-4.662708,7.7504797,9.368145280475412,0.13917311339507984,1
1.5010148,-5.100847,9.031378,10.480337351836571,0.14056554560247744,1
2.1737854,-4.080917,7.743297,9.018751319678957,0.13774502002706004,1
2.3725042,-5.5126495,8.066514,10.05418972155545,0.1350431593089337,1
2.7459998,-4.497508,7.70499,9.334611078628708,0.12711181100599295,1
